id,name,dept,salary,tax
1,Jones,4,100,10
2,Brown,3,200,20
3,Moore,3,300,30
4,Davis,3,400,40
5,Taylor,5,500,50
6,Moore,4,600,60
7,Davis,2,700,70
8,White,2,800,80
9,Johnson,3,900,90
10,Jones,0,1000,100
11,Smith,2,1100,110
12,Jackson,1,1200,120
13,Jones,4,1300,130
14,White,1,1400,140
15,Thompson,0,1500,150
16,Martinez,5,1600,160
17,Thompson,5,1700,170
18,Anderson,2,1800,180
19,Harris,3,1900,190
20,Miller,4,2000,200
21,Wilson,2,2100,210
22,Davis,5,2200,220
23,Anderson,4,2300,230
24,Smith,1,2400,240
25,Williams,1,2500,250
26,Thomas,2,2600,260
27,,4,2700,270
28,White,1,2800,280
29,Jackson,3,2900,290
30,Jackson,4,3000,300
31,Miller,2,3100,310
32,Johnson,0,3200,320
33,Martinez,3,3300,330
34,Davis,4,3400,340
35,Anderson,4,3500,350
36,Brown,1,3600,360
37,Moore,3,3700,370
38,Moore,2,3800,380
39,Anderson,0,3900,390
40,White,3,4000,389
41,Davis,3,4100,410
42,Smith,4,4200,420
43,Thompson,4,4300,430
44,Thomas,3,4400,440
45,Brown,1,4500,450
46,Smith,4,4600,460
47,Taylor,0,4700,470
48,Harris,4,4800,480
49,Harris,5,4900,490
50,Thomas,1,5000,500
51,Davis,4,5100,510
52,Thompson,1,5200,520
53,Thompson,5,5300,530
54,Moore,4,5400,540
55,Martin,0,5500,550
56,Miller,0,5600,560
57,Davis,2,5700,570
58,Harris,4,5800,580
59,Garcia,3,5900,590
60,Taylor,1,6000,600
61,Moore,0,6100,610
62,Garcia,1,6200,620
63,Garcia,3,6300,630
64,Harris,1,6400,640
65,Garcia,4,6500,650
66,Garcia,2,6600,660
67,Martinez,0,6700,670
68,Thompson,1,6800,680
69,Taylor,1,6900,690
70,White,4,7000,700
71,Anderson,4,7100,710
72,Jackson,3,7200,720
73,Taylor,1,7300,730
74,Thomas,3,7400,740
75,Wilson,0,7500,750
76,Miller,1,7600,760
77,Martinez,0,7700,770
78,Thompson,2,7800,780
79,Davis,4,7900,790
80,Wilson,3,8000,800
81,,1,8100,810
82,Taylor,1,8200,820
83,Jackson,3,8300,830
84,Smith,3,8400,840
85,Jones,5,8500,850
86,Martin,2,8600,860
87,Anderson,3,8700,870
88,Brown,3,8800,880
89,Garcia,5,8900,890
90,Moore,1,9000,900
91,Johnson,2,9100,910
92,Jackson,2,9200,920
93,Moore,2,9300,930
94,Smith,1,9400,940
95,Williams,0,9500,950
96,Jones,2,9600,949
97,Jackson,1,9700,970
98,Moore,2,9800,980
99,,0,9900,990
100,Moore,1,10000,1000
101,White,1,10100,1010
102,Miller,5,10200,1020
103,Williams,0,10300,1030
104,Anderson,0,10400,1040
105,Moore,5,10500,1050
106,Martin,4,10600,1060
107,Brown,2,10700,1070
108,Garcia,5,10800,1080
109,Harris,0,10900,1090
110,Miller,4,11000,1100
111,Thompson,2,11100,1110
112,Thomas,1,11200,1120
113,Anderson,2,11300,1130
114,Thomas,3,11400,1140
115,Davis,1,11500,1150
116,Thomas,3,11600,1160
117,White,4,11700,1170
118,Jackson,4,11800,1180
119,Martin,1,11900,1190
120,Taylor,5,12000,1200
121,Taylor,5,12100,1210
122,Smith,2,12200,1220
123,Brown,2,12300,1230
124,Jones,1,12400,1240
125,Jones,4,12500,1250
126,Smith,2,12600,1260
127,Jackson,4,12700,1270
128,Moore,1,12800,1280
129,Jackson,0,12900,1290
130,Jones,4,13000,1300
131,Johnson,1,13100,1310
132,Taylor,0,13200,1320
133,Miller,2,13300,1330
134,Harris,4,13400,1340
135,Jones,3,13500,1350
136,Wilson,4,13600,1360
137,Martin,1,13700,1370
138,Johnson,3,13800,1380
139,Williams,2,13900,1390
140,Williams,0,14000,1400
141,Miller,4,14100,1410
142,Thompson,5,14200,1420
143,Thompson,4,14300,1430
144,Thomas,4,14400,1440
145,Garcia,0,14500,1450
146,Williams,4,14600,1460
147,Brown,1,14700,1470
148,Taylor,5,14800,1480
149,Jackson,2,14900,1490
150,Anderson,3,15000,1500
151,,3,15100,1510
152,Smith,3,15200,1520
153,Smith,0,15300,1530
154,White,4,15400,1540
155,Jackson,4,15500,1550
156,Williams,4,15600,1560
157,Davis,3,15700,1570
158,Miller,1,15800,1580
159,Williams,4,15900,1590
160,Brown,1,16000,1600
161,Jackson,3,16100,1610
162,Martinez,0,16200,1620
163,Anderson,2,16300,1630
164,Anderson,1,16400,1640
165,Martin,0,16500,1650
166,Miller,1,16600,1660
167,Brown,1,16700,1670
168,Garcia,1,16800,1680
169,Taylor,3,16900,1690
170,Harris,3,17000,1700
171,Davis,4,17100,1710
172,Harris,2,17200,1720
173,White,4,17300,1730
174,Moore,5,17400,1740
175,Johnson,1,17500,1750
176,Miller,1,17600,1760
177,Thompson,3,17700,1770
178,Smith,2,17800,1780
179,Thompson,4,17900,1790
180,White,0,18000,1800
181,,0,18100,1810
182,Thompson,1,18200,1820
183,Jackson,1,18300,1830
184,Jackson,3,18400,1840
185,,1,18500,1850
186,Brown,1,18600,1860
187,Martin,0,18700,1870
188,Johnson,1,18800,1880
189,Davis,2,18900,1890
190,Williams,4,19000,1900
191,,2,19100,1910
192,Taylor,3,19200,1920
193,Martinez,1,19300,1930
194,Moore,2,19400,1940
195,Johnson,0,19500,1950
196,Smith,5,19600,1960
197,Anderson,0,19700,1970
198,Miller,4,19800,1980
199,Thompson,2,19900,1990
200,Thomas,3,20000,2000
201,Jackson,1,20100,2010
202,Taylor,0,20200,2020
203,White,2,20300,2030
204,Davis,3,20400,2040
205,Jackson,4,20500,2050
206,Jackson,5,20600,2060
207,Martin,4,20700,2070
208,White,3,20800,2080
209,Moore,1,20900,2090
210,Jackson,3,21000,2100
211,Jones,3,21100,2110
212,Wilson,3,21200,2120
213,Brown,1,21300,2130
214,Davis,5,21400,2140
215,Brown,5,21500,2150
216,Miller,0,21600,2160
217,Williams,1,21700,2170
218,Anderson,2,21800,2180
219,Brown,3,21900,2190
220,Martin,0,22000,2200
221,White,4,22100,2210
222,Moore,3,22200,2220
223,Johnson,4,22300,2230
224,Harris,0,22400,2240
225,Brown,3,22500,2250
226,Jones,4,22600,2260
227,Harris,5,22700,2270
228,Jones,4,22800,2280
229,Johnson,2,22900,2290
230,Harris,4,23000,2300
231,Johnson,2,23100,2310
232,White,4,23200,2320
233,Martin,1,23300,2330
234,Wilson,4,23400,2340
235,Harris,1,23500,2350
236,Wilson,1,23600,2360
237,Smith,3,23700,2370
238,Garcia,4,23800,2380
239,White,3,23900,2390
240,Moore,4,24000,2400
241,Jackson,4,24100,2410
242,Smith,2,24200,2420
243,Anderson,5,24300,2430
244,Wilson,5,24400,2440
245,Jackson,2,24500,2450
246,Garcia,3,24600,2460
247,Taylor,1,24700,2470
248,Thompson,3,24800,2480
249,Davis,4,24900,2490
250,Thompson,3,25000,2500
251,Martin,1,25100,2510
252,,4,25200,2520
253,Jones,5,25300,2530
254,Jones,3,25400,2540
255,Davis,4,25500,2550
256,Miller,0,25600,2560
257,Harris,2,25700,2570
258,,4,25800,2580
259,Jones,2,25900,2590
260,Anderson,1,26000,2600
261,Garcia,1,26100,2610
262,Davis,3,26200,2620
263,Garcia,4,26300,2630
264,Johnson,4,26400,2640
265,Jones,4,26500,2650
266,Davis,4,26600,2660
267,Thompson,0,26700,2670
268,Johnson,1,26800,2680
269,Thomas,1,26900,2690
270,Thompson,1,27000,2700
271,Taylor,4,27100,2710
272,Anderson,2,27200,2720
273,Smith,5,27300,2730
274,Garcia,4,27400,2740
275,Davis,4,27500,2750
276,Martin,2,27600,2760
277,Davis,3,27700,2770
278,Thompson,3,27800,2780
279,Johnson,2,27900,2790
280,Garcia,1,28000,2800
281,Martin,5,28100,2810
282,Williams,0,28200,2820
283,Jackson,1,28300,2830
284,Williams,3,28400,2840
285,White,3,28500,2850
286,Johnson,2,28600,2860
287,Davis,1,28700,2870
288,Thomas,0,28800,2880
289,Anderson,0,28900,2890
290,Garcia,3,29000,2900
291,Williams,2,29100,2910
292,Brown,0,29200,2920
293,Moore,1,29300,2930
